상행평일,상행토요일,상행휴일
5:30,5:30,5:30
5:41,5:41,5:41
5:52,5:52,5:52
6:03,6:03,6:03
6:13,6:14,6:14
6:23,6:24,6:24
6:33,6:34,6:34
6:43,6:44,6:44
6:53,6:54,6:54
7:01,7:04,7:04
7:08,7:14,7:14
7:15,7:24,7:24
7:22,7:33,7:33
7:28,7:42,7:42
7:34,7:51,7:51
7:40,8:00,8:00
7:45,8:09,8:09
7:50,8:18,8:18
7:55,8:27,8:27
8:00,8:36,8:36
8:05,8:45,8:45
8:10,8:54,8:54
8:15,9:03,9:03
8:20,9:12,9:12
8:25,9:21,9:21
8:30,9:29,9:29
8:35,9:37,9:37
8:40,9:45,9:45
8:45,9:53,9:53
8:50,10:01,10:01
8:56,10:09,10:09
9:02,10:17,10:17
9:09,10:25,10:25
9:16,10:33,10:33
9:23,10:41,10:41
9:30,10:49,10:49
9:37,10:57,10:57
9:44,11:05,11:05
9:51,11:13,11:13
9:58,11:21,11:21
10:05,11:29,11:29
10:12,11:37,11:37
10:20,11:45,11:45
10:28,11:53,11:53
10:36,12:01,12:01
10:44,12:09,12:09
10:52,12:17,12:17
11:00,12:25,12:25
11:08,12:33,12:33
11:16,12:41,12:41
11:24,12:49,12:49
11:32,12:57,12:57
11:40,13:04,13:05
11:48,13:11,13:13
11:56,13:17,13:21
12:04,13:23,13:29
12:12,13:29,13:37
12:20,13:35,13:45
12:28,13:41,13:53
12:36,13:47,14:01
12:44,13:53,14:09
12:52,13:59,14:17
13:00,14:05,14:25
13:08,14:11,14:33
13:16,14:17,14:41
13:24,14:23,14:49
13:32,14:29,14:57
13:40,14:35,15:05
13:48,14:41,15:13
13:56,14:47,15:21
14:04,14:53,15:29
14:12,14:59,15:37
14:20,15:06,15:45
14:28,15:13,15:53
14:36,15:21,16:01
14:44,15:29,16:09
14:52,15:37,16:17
15:00,15:45,16:25
15:08,15:53,16:33
15:16,16:01,16:41
15:24,16:09,16:49
15:32,16:17,16:57
15:40,16:25,17:05
15:48,16:33,17:13
15:56,16:41,17:21
16:04,16:49,17:29
16:12,16:57,17:36
16:20,17:05,17:43
16:28,17:13,17:50
16:36,17:21,17:57
16:44,17:29,18:04
16:52,17:37,18:11
17:00,17:44,18:18
17:07,17:50,18:25
17:14,17:56,18:32
17:21,18:02,18:39
17:28,18:08,18:46
17:35,18:14,18:53
17:42,18:20,19:00
17:49,18:26,19:07
17:56,18:32,19:14
18:03,18:38,19:21
18:10,18:44,19:28
18:15,18:50,19:35
18:20,18:56,19:42
18:25,19:02,19:49
18:30,19:08,19:56
18:35,19:14,20:03
18:40,19:20,20:10
18:45,19:26,20:17
18:50,19:32,20:24
18:55,19:38,20:31
19:00,19:44,20:38
19:05,19:50,20:46
19:10,19:56,20:54
19:15,20:02,21:02
19:20,20:08,21:10
19:25,20:15,21:18
19:30,20:22,21:26
19:35,20:30,21:34
19:41,20:38,21:42
19:47,20:46,21:50
19:54,20:54,21:58
20:01,21:02,22:07
20:08,21:10,22:16
20:15,21:18,22:25
20:22,21:26,22:35
20:29,21:34,22:45
20:36,21:42,22:55
20:44,21:50,23:06
20:52,21:58,23:18
21:00,22:07,
21:08,22:16,
21:16,22:25,
21:24,22:35,
21:32,22:45,
21:40,22:55,
21:49,23:06,
21:58,23:18,
22:07,,
22:16,,
22:25,,
22:35,,
22:45,,
22:55,,
23:06,,
23:18,,
