상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:34,5:34,5:34,6:07,6:07,6:07
5:45,5:45,5:45,6:21,6:21,6:21
5:56,5:56,5:56,6:31,6:31,6:31
6:07,6:07,6:07,6:41,6:41,6:41
6:17,6:18,6:18,6:49,6:51,6:51
6:27,6:28,6:28,6:56,7:01,7:01
6:37,6:38,6:38,7:03,7:11,7:11
6:47,6:48,6:48,7:10,7:20,7:20
6:57,6:58,6:58,7:17,7:29,7:29
7:05,7:08,7:08,7:24,7:38,7:38
7:12,7:18,7:18,7:30,7:47,7:47
7:19,7:28,7:28,7:35,7:56,7:56
7:26,7:37,7:37,7:40,8:04,8:04
7:32,7:46,7:46,7:45,8:12,8:12
7:38,7:55,7:55,7:50,8:20,8:20
7:44,8:04,8:04,7:55,8:28,8:28
7:49,8:13,8:13,8:00,8:36,8:36
7:54,8:22,8:22,8:05,8:44,8:44
7:59,8:31,8:31,8:10,8:52,8:52
8:04,8:40,8:40,8:15,9:00,9:00
8:09,8:49,8:49,8:20,9:08,9:08
8:14,8:58,8:58,8:25,9:16,9:16
8:19,9:07,9:07,8:30,9:24,9:24
8:24,9:16,9:16,8:35,9:32,9:32
8:29,9:25,9:25,8:40,9:40,9:40
8:34,9:33,9:33,8:45,9:48,9:48
8:39,9:41,9:41,8:50,9:56,9:56
8:44,9:49,9:49,8:55,10:04,10:04
8:49,9:57,9:57,9:01,10:12,10:12
8:54,10:05,10:05,9:07,10:20,10:20
9:00,10:13,10:13,9:13,10:28,10:28
9:06,10:21,10:21,9:19,10:36,10:36
9:13,10:29,10:29,9:26,10:44,10:44
9:20,10:37,10:37,9:33,10:52,10:52
9:27,10:45,10:45,9:40,11:00,11:00
9:34,10:53,10:53,9:47,11:08,11:08
9:41,11:01,11:01,9:54,11:16,11:16
9:48,11:09,11:09,10:01,11:24,11:24
9:55,11:17,11:17,10:08,11:32,11:32
10:02,11:25,11:25,10:15,11:40,11:40
10:09,11:33,11:33,10:22,11:48,11:48
10:16,11:41,11:41,10:29,11:56,11:56
10:24,11:49,11:49,10:36,12:04,12:04
10:32,11:57,11:57,10:43,12:12,12:12
10:40,12:05,12:05,10:50,12:20,12:20
10:48,12:13,12:13,10:57,12:28,12:28
10:56,12:21,12:21,11:05,12:36,12:36
11:04,12:29,12:29,11:13,12:44,12:44
11:12,12:37,12:37,11:21,12:52,12:52
11:20,12:45,12:45,11:29,13:00,13:00
11:28,12:53,12:53,11:37,13:08,13:08
11:36,13:01,13:01,11:45,13:15,13:16
11:44,13:08,13:09,11:53,13:22,13:24
11:52,13:15,13:17,12:01,13:28,13:32
12:00,13:21,13:25,12:09,13:34,13:40
12:08,13:27,13:33,12:17,13:40,13:48
12:16,13:33,13:41,12:25,13:46,13:56
12:24,13:39,13:49,12:33,13:52,14:04
12:32,13:45,13:57,12:41,13:58,14:12
12:40,13:51,14:05,12:49,14:04,14:20
12:48,13:57,14:13,12:57,14:10,14:28
12:56,14:03,14:21,13:05,14:16,14:36
13:04,14:09,14:29,13:13,14:22,14:44
13:12,14:15,14:37,13:21,14:28,14:52
13:20,14:21,14:45,13:29,14:34,15:00
13:28,14:27,14:53,13:37,14:40,15:08
13:36,14:33,15:01,13:45,14:46,15:16
13:44,14:39,15:09,13:53,14:52,15:24
13:52,14:45,15:17,14:01,14:58,15:32
14:00,14:51,15:25,14:09,15:04,15:40
14:08,14:57,15:33,14:17,15:10,15:48
14:16,15:03,15:41,14:25,15:16,15:56
14:24,15:10,15:49,14:33,15:24,16:04
14:32,15:17,15:57,14:41,15:32,16:12
14:40,15:25,16:05,14:49,15:40,16:20
14:48,15:33,16:13,14:57,15:48,16:28
14:56,15:41,16:21,15:05,15:56,16:36
15:04,15:49,16:29,15:13,16:04,16:44
15:12,15:57,16:37,15:21,16:12,16:52
15:20,16:05,16:45,15:29,16:20,17:00
15:28,16:13,16:53,15:37,16:28,17:08
15:36,16:21,17:01,15:45,16:36,17:16
15:44,16:29,17:09,15:53,16:44,17:24
15:52,16:37,17:17,16:01,16:52,17:32
16:00,16:45,17:25,16:09,17:00,17:40
16:08,16:53,17:33,16:17,17:08,17:48
16:16,17:01,17:40,16:25,17:16,17:56
16:24,17:09,17:47,16:33,17:24,18:04
16:32,17:17,17:54,16:41,17:32,18:12
16:40,17:25,18:01,16:49,17:40,18:19
16:48,17:33,18:08,16:57,17:48,18:26
16:56,17:41,18:15,17:05,17:55,18:33
17:04,17:48,18:22,17:13,18:01,18:40
17:11,17:54,18:29,17:21,18:07,18:47
17:18,18:00,18:36,17:29,18:13,18:54
17:25,18:06,18:43,17:37,18:19,19:01
17:32,18:12,18:50,17:45,18:25,19:08
17:39,18:18,18:57,17:52,18:31,19:15
17:46,18:24,19:04,17:59,18:37,19:22
17:53,18:30,19:11,18:06,18:43,19:29
18:00,18:36,19:18,18:12,18:49,19:36
18:07,18:42,19:25,18:18,18:55,19:43
18:14,18:48,19:32,18:23,19:01,19:50
18:19,18:54,19:39,18:28,19:07,19:57
18:24,19:00,19:46,18:33,19:13,20:04
18:29,19:06,19:53,18:38,19:19,20:11
18:34,19:12,20:00,18:43,19:25,20:18
18:39,19:18,20:07,18:48,19:31,20:25
18:44,19:24,20:14,18:53,19:37,20:33
18:49,19:30,20:21,18:58,19:43,20:41
18:54,19:36,20:28,19:03,19:49,20:49
18:59,19:42,20:35,19:08,19:55,20:57
19:04,19:48,20:42,19:13,20:01,21:05
19:09,19:54,20:50,19:18,20:09,21:13
19:14,20:00,20:58,19:23,20:17,21:21
19:19,20:06,21:06,19:28,20:25,21:29
19:24,20:12,21:14,19:33,20:33,21:38
19:29,20:19,21:22,19:38,20:41,21:47
19:34,20:26,21:30,19:43,20:49,21:56
19:39,20:34,21:38,19:50,20:57,22:05
19:45,20:42,21:46,19:57,21:05,22:14
19:51,20:50,21:54,20:05,21:13,22:23
